"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"45404","23-8-19-7-49-91","nic","nic",NA
"45410","23-8-19-7-57-85","nic","nic",NA
"45417","19-8-21-12-20-91","nic","nic",NA
"45418","19-8-21-12-21-92","nic","nic",NA
"45421","19-8-22-18-37-95","nic","nic",NA
"45453","23-8-15-12-43-84","nic","nic",NA
"45455","23-8-15-12-44-86","nic","nic",NA
"45460","23-8-15-12-49-90","nic","nic",NA
"45461","19-8-17-10-21-89","nic","nic",NA
"45509","19-8-23-7-48-L6","nic","nic",NA
"45510","23-8-19-10-21-26","nic","nic",NA
"45511","23-8-19-10-23-27","nic","nic",NA
"45527","19-8-23-8-29-6","nic","nic",NA
"45612","23-8-15-17-20-98","nic","nic",NA
"45694","24-8-17-18-50-L4","nic","nic",NA
"45719","19-8-21-16-46-L2","nic","nic",NA
"45762","23-8-20-7-15-48","nic","nic",NA
"45782","19-8-23-13-28-L7","nic","nic",NA
"45783","19-8-23-13-30-L8","nic","nic",NA
"45784","24-8-18-8-52-56","nic","nic",NA
"45815","23-8-20-8-28-86","nic","nic",NA
"45820","23-8-20-8-30-91","nic","nic",NA
"45832","23-8-20-9-14-L9","nic","nic",NA
"45848","23-8-20-9-52-6","nic","nic",NA
"45850","23-8-20-11-17-8","nic","nic",NA
"45936","19-8-18-7-37-L2","nic","nic",NA
"45945","19-8-22-9-13-89","nic","nic",NA
"45996","19-8-18-9-46-2","nic","nic",NA
"45997","19-8-18-9-47-3","nic","nic",NA
"46001","23-8-14-11-5-94","nic","nic",NA
"46006","23-8-20-15-25-89","nic","nic",NA
"46009","19-8-21-13-32-74","nic","nic",NA
"46046","24-8-18-17-12-79","nic","nic",NA
"46062","24-8-18-17-27-95","nic","nic",NA
"46068","24-8-18-18-13-L1","nic","nic",NA
"46154","23-8-14-15-29-25","nic","nic",NA
"46162","23-8-14-15-44-33","nic","nic",NA
"46184","23-8-14-16-17-47","nic","nic",NA
"46236","23-8-14-17-19-71","nic","nic",NA
"46237","19-8-18-14-14-L8","nic","nic",NA
"46278","23-8-15-7-12-4","nic","nic",NA
"46280","23-8-15-7-13-5","nic","nic",NA
"46281","23-8-15-7-14-6","nic","nic",NA
"46282","23-8-15-7-15-L2","nic","nic",NA
"46285","19-8-22-9-27-32","nic","nic",NA
"46299","24-8-16-23-49-17","nic","nic",NA
"46312","24-8-18-17-24-92","nic","nic",NA
"46323","23-8-15-8-5-37","nic","nic",NA
"46358","19-8-22-10-48-96","nic","nic",NA
"46385","19-8-18-18-28-L6","nic","nic",NA
"46394","19-8-18-18-36-91","nic","nic",NA
"46396","24-8-17-8-59-L8","nic","nic",NA
"46399","24-8-17-9-3-L10","nic","nic",NA
"46409","23-8-15-9-33-96","nic","nic",NA
"46412","23-8-15-9-35-98","nic","nic",NA
"46413","23-8-15-9-39-L5","nic","nic",NA
"46423","23-8-15-10-22-L2","nic","nic",NA
"46433","19-8-18-19-20-53","nic","nic",NA
"46440","19-8-21-9-33-L1","nic","nic",NA
"46446","19-8-22-17-33-57","nic","nic",NA
"46448","23-8-15-10-45-17","nic","nic",NA
"46451","23-8-15-10-49-19","nic","nic",NA
"46454","24-8-17-10-19-71","nic","nic",NA
"46455","23-8-18-18-35-92","nic","nic",NA
"46461","23-8-18-18-41-98","nic","nic",NA
"46464","19-8-17-8-23-36","nic","nic",NA
"46467","23-8-18-18-59-L2","nic","nic",NA
"46472","23-8-15-11-11-34","nic","nic",NA
"46476","19-8-21-10-29-91","nic","nic",NA
"46478","19-8-21-10-32-93","nic","nic",NA
"46483","23-8-15-11-35-46","nic","nic",NA
"46500","19-8-21-12-9-L6","nic","nic",NA
